Name,Population 2023,Area,Population Density
ABU HAIL,18298,1.273818524,14364.68355
AL AWIR FIRST,5997,39.71477406,151.0017403
AL AWIR SECOND,6262,54.94370999,113.9711898
AL BADA',60857,1.984698385,30663.09745
AL BARAHA,26520,1.025324425,25864.98415
AL BARSHA FIRST,43201,3.954247137,10925.21497
AL BARSHA SECOND,17208,6.411345433,2683.992023
AL BARSHA SOUTH FIFTH,8780,2.950968501,2975.294381
AL BARSHA SOUTH FIRST,15127,5.900181114,2563.819603
AL BARSHA SOUTH FOURTH,31371,6.803106784,4611.275553
AL BARSHA SOUTH SECOND,7637,4.767341356,1601.941088
AL BARSHA SOUTH THIRD,12022,3.74367411,3211.283794
AL BARSHA THIRD,16103,4.94676896,3255.256134
AL BUTEEN,3106,0.147788037,21016.58607
AL CORNICHE,3202,0.61132507,5237.802532
AL DAGHAYA,16968,0.176578481,96093.24945
AL FAGAA,460,140.5277214,3.273375497
AL GARHOUD,20887,4.042863418,5166.387741
AL HAMRIYA,39228,0.827901532,47382.44643
AL HAMRIYA PORT,526,0.920801743,571.2413164
AL HATHMAH,40,82.25254999,0.486307112
AL HEBIAH FIFTH,10988,8.093169888,1357.688045
AL HEBIAH FIRST,11896,4.176687563,2848.19006
AL HEBIAH FOURTH,22859,9.145628962,2499.445374
AL HEBIAH SECOND,1861,3.261113579,570.6639634
AL HEBIAH SIXTH,2574,3.268495931,787.5181901
AL HEBIAH THIRD,8193,4.304719752,1903.259788
AL HUDAIBA,15290,0.882340612,17328.90881
AL JADAF,7747,7.240359373,1069.974514
AL JAFILIYA,26199,1.669478537,15692.92412
AL KARAMA,78001,2.106963902,37020.56781
AL KHABAISI,2122,1.226749122,1729.775031
AL KHEERAN,5395,6.313607684,854.5035216
AL KHEERAN FIRST,4226,7.334263329,576.199655
AL KHWANEEJ FIRST,14418,16.41118298,878.5472698
AL KHWANEEJ SECOND,6370,12.69395624,501.8136097
AL KIFAF,1466,0.795645627,1842.528823
AL LAYAN 1,300,28.3352494,10.5875193
AL LAYAN 2,0,36.99664351,0
AL LESAILY,3088,112.7010957,27.39991107
AL MAHA,211,41.72734644,5.056635947
AL MAMZAR,18911,5.798823652,3261.178669
AL MANARA,9220,2.194551815,4201.313424
AL MARMOOM,143,27.32637848,5.233038841
AL MERKADH,8019,10.35520373,774.3932628
AL MERYAL,769,15.4580986,49.74738614
AL MIZHAR FIRST,18434,6.864600751,2685.371032
AL MIZHAR SECOND,12607,4.306268937,2927.59235
AL MURAQQABAT,74475,1.505474825,49469.44231
AL MURAR,40889,0.387711047,105462.561
AL MUTEENA,49812,1.113041891,44753.03258
AL NAHDA FIRST,34137,1.696328687,20124.04805
AL NAHDA SECOND,67660,2.211569523,30593.65726
AL O'SHOOSH,3,58.95212418,0.050888752
AL QOUZ FIRST,22467,3.571170236,6291.215069
AL QOUZ FOURTH,22541,2.238879032,10067.98477
AL QOUZ IND.FIRST,33186,4.825385999,6877.377272
AL QOUZ IND.FOURTH,42665,4.689045259,9098.867177
AL QOUZ IND.SECOND,131134,5.051227929,25960.81623
AL QOUZ IND.THIRD,21060,4.402932662,4783.175582
AL QOUZ SECOND,5838,5.324608554,1096.418627
AL QOUZ THIRD,54036,2.42303424,22300.96427
AL QUSAIS FIRST,50587,2.731427652,18520.35142
AL QUSAIS IND. FIFTH,8590,2.395551112,3585.813702
AL QUSAIS IND. FIRST,11477,1.437920913,7981.662896
AL QUSAIS IND. FOURTH,3040,0.727746269,4177.280088
AL QUSAIS IND. SECOND,9979,1.728331213,5773.777577
AL QUSAIS IND. THIRD,2906,0.925042271,3141.47806
AL QUSAIS SECOND,13488,1.791178883,7530.236162
AL QUSAIS THIRD,7928,2.258167933,3510.810637
AL RAFFA,51003,1.22829005,41523.57986
AL RAS,8385,0.302711158,27699.67274
AL RASHIDIYA,39107,4.840777145,8078.66151
AL RIGGA,11483,0.654291336,17550.28589
AL ROWAIYAH FIRST,3310,11.49007112,288.0748052
AL ROWAIYAH SECOND,0,7.48568003,0
AL ROWAIYAH THIRD,5000,59.99766248,83.33658002
AL SABKHA,4415,0.073089686,60405.23968
AL SAFA FIRST,9543,2.430423022,3926.476961
AL SAFA SECOND,7443,1.892789036,3932.292431
AL SAFOUH FIRST,4942,5.871912621,841.6337775
AL SAFOUH SECOND,6853,4.279027495,1601.532126
AL SATWA,42367,2.692883789,15732.94777
AL SHINDAGHA,7,0.310839915,22.51963039
AL SOUQ AL KABEER,53872,0.874944699,61571.8914
AL THANYAH  FOURTH,30043,11.07910614,2711.680855
AL THANYAH FIFTH,43234,9.714095943,4450.645768
AL THANYAH FIRST,29861,1.069713127,27914.96079
AL THANYAH SECOND,0,6.228090551,0
AL THANYAH THIRD,23674,3.842429588,6161.205939
AL TTAY,10662,3.293948551,3236.844727
AL TWAR FIRST,12827,2.563983319,5002.762657
AL TWAR SECOND,5340,1.110877654,4807.01001
AL TWAR THIRD,11784,2.967443422,3971.095089
AL WAJEHA AL BAHRIAH,4,124.7306645,0.032069099
AL WARQA'A FIFTH,0,4.252104929,0
AL WARQA'A FIRST,27445,2.356624125,11645.89623
AL WARQA'A FOURTH,14974,5.145397014,2910.173882
AL WARQA'A SECOND,11837,3.563429727,3321.799756
AL WARQA'A THIRD,16210,6.220060931,2606.083796
AL WASL,12654,4.872904935,2596.808304
AL WOHOOSH,47,26.51381288,1.772660923
AL WUHEIDA,21969,1.432349266,15337.73955
AL YALAYIS 1,3400,17.79530572,191.0616235
AL YALAYIS 2,6610,14.34881001,460.6653788
AL YALAYIS 3,4,12.34032556,0.324140557
AL YALAYIS 4,8,13.23556563,0.604432045
AL YALAYIS 5,85,25.16416861,3.377818728
AL YUFRAH 1,700,17.4997811,40.00050034
AL YUFRAH 2,3,4.331565504,0.692590242
ALEYAS,1884,10.51903653,179.1038557
AYAL NASIR,20330,0.173100055,117446.5254
BU KADRA,117,1.745152987,67.04283287
BURJ KHALIFA,23616,2.660071826,8877.955762
BUSINESS BAY,25817,6.586258537,3919.827905
CORNICHE DEIRA,2,0.870784465,2.296779607
DUBAI INT'L AIRPORT,122,14.1807107,8.603235944
DUBAI INVESTMENT PARK FIRST,62062,17.16688018,3615.217171
DUBAI INVESTMENT PARK SECOND,77366,18.77413197,4120.882933
ENKHALI,2,44.49727281,0.044946575
GHADEER BARASHY,30,70.85860077,0.423378386
GRAYTEESAH,58,91.81781495,0.631685692
HADAEQ SHEIKH MOHAMMED BIN RASHID,7958,38.67711971,205.7547217
HATTA,15792,128.7101401,122.6942957
HEFAIR,12,143.5651314,0.083585756
HESSYAN FIRST,3687,23.84698097,154.6107662
HESSYAN SECOND,10418,51.89713779,200.743248
HOR AL ANZ,86295,1.750610963,49294.21889
HOR AL ANZ EAST,22739,1.377275133,16510.13618
JABAL ALI FIRST,79425,21.32369426,3724.729825
JABAL ALI INDUSTRIAL FIRST,194734,22.06500352,8825.468792
JABAL ALI INDUSTRIAL SECOND,30067,32.56536744,923.2814601
JABAL ALI INDUSTRIAL THIRD,0,30.00372819,0
JABAL ALI SECOND,1014,5.059545454,200.4132603
JABAL ALI THIRD,218,364.9507672,0.597340846
JUMEIRA BAY,50,0.990556989,50.47665159
JUMEIRA FIRST,22676,9.96004548,2276.696431
JUMEIRA ISLAND 2,3,0.116673,25.71288977
JUMEIRA SECOND,11242,3.34227687,3363.575322
JUMEIRA THIRD,14961,3.442735128,4345.672683
LE HEMAIRA,56,36.41312335,1.537907074
LEHBAB FIRST,3475,34.65207487,100.2825953
LEHBAB SECOND,1670,62.30830748,26.80220451
MADINAT AL MATAAR,10149,141.8346241,71.5551655
MANKHOOL,43254,1.960287151,22065.13468
MARGAB,677,34.6310175,19.54894914
MARGHAM,1280,152.5901911,8.38848153
MARSA DUBAI,66045,8.88106544,7436.607741
ME'AISEM FIRST,20596,16.4238971,1254.026366
ME'AISEM SECOND,14,10.43004945,1.342275515
MENA JABAL ALI,10700,34.84146876,307.1053082
MEREIYEEL,438,30.68781337,14.27276667
MIRDIF,70020,9.350304586,7488.526107
MUGATRAH,350,139.9169765,2.501483441
MUHAISANAH FIFTH,2,1.96150412,1.019625694
MUHAISANAH FOURTH,37212,2.323823942,16013.2613
MUHAISANAH SECOND,144012,5.577565578,25819.86675
MUHAISANAH THIRD,7240,1.753298552,4129.359483
MUHAISNAH FIRST,9078,4.973384542,1825.316326
MUSHRAIF,84,10.47269858,8.020855311
NADD AL HAMAR,20543,8.312227659,2471.419316
NADD AL SHIBA FIRST,7116,21.67317036,328.3322135
NADD AL SHIBA FOURTH,4076,6.169340146,660.6865408
NADD AL SHIBA SECOND,2693,7.486459189,359.7161131
NADD AL SHIBA THIRD,1301,6.320417498,205.8408326
NADD HESSA,52733,9.804428202,5378.488058
NADD SHAMMA,3479,1.092960053,3183.098952
NAIF,53752,0.747248023,71933.27832
NAKHLAT DEIRA,2,99.8466213,0.020030723
NAKHLAT JABAL ALI,5,58.09985993,0.086058727
NAKHLAT JUMEIRA,26391,26.74153939,986.8915778
NAZWAH,610,13.05849126,46.71290029
OUD AL MUTEENA FIRST,16312,3.628009256,4496.129654
OUD AL MUTEENA SECOND,7438,2.42647983,3065.345901
OUD AL MUTEENA THIRD,6119,1.369798925,4467.078991
OUD METHA,16408,1.515958115,10823.51804
PORT SAEED,14773,2.702122968,5467.182721
RAS AL KHOR,2,7.793517017,0.25662355
RAS AL KHOR IND. FIRST,2247,2.645376754,849.4064208
RAS AL KHOR IND. SECOND,1924,4.173755543,460.975728
RAS AL KHOR IND. THIRD,20455,5.448024746,3754.571786
REMAH,201,82.8660574,2.4256011
RIGGAT AL BUTEEN,7834,0.806587792,9712.519929
SAIH AL DAHAL,3,190.173497,0.015775069
SAIH AL SALAM,620,88.69624144,6.990149638
SAIH SHUA'ALAH,0,69.54069124,0
SAIH SHUAIB 1,2101,41.61787183,50.48311958
SAIH SHUAIB 2,12791,22.27965179,574.1113067
SAIH SHUAIB 3,4741,16.04099944,295.5551503
SAIH SHUAIB 4,10806,19.36634377,557.9783221
TRADE CENTER FIRST,18649,0.834875283,22337.46809
TRADE CENTER SECOND,14297,1.379920948,10360.73843
UMM AL DAMAN,313,35.22229425,8.886417158
UMM AL MO'MENEEN,172,32.69191427,5.261239784
UMM AL SHEIF,4867,1.847920722,2633.770996
UMM ESELAY,222,35.1606067,6.313884225
UMM HURAIR FIRST,6854,0.984710152,6960.423823
UMM HURAIR SECOND,5959,3.39707928,1754.153939
UMM NAHAD FIRST,8,14.12709585,0.566287656
UMM NAHAD FOURTH,5200,46.00825925,113.0231851
UMM NAHAD SECOND,2,8.524002816,0.234631551
UMM NAHAD THIRD,3785,15.28991165,247.5488471
UMM RAMOOL,3322,3.646884624,910.9144771
UMM SUQEIM FIRST,13153,2.813881437,4674.326298
UMM SUQEIM SECOND,13950,3.190116593,4372.880925
UMM SUQEIM THIRD,8198,2.605921553,3145.912045
WADI AL SAFA 2,11439,10.53161754,1086.157939
WADI AL SAFA 3,10847,30.19230669,359.2637062
WADI AL SAFA 4,176,6.854881163,25.67513511
WADI AL SAFA 5,22504,16.31881041,1379.022088
WADI AL SAFA 6,19995,7.812020591,2559.517063
WADI AL SAFA 7,9703,8.408388836,1153.966615
WADI ALAMARDI,3756,24.18404882,155.3089819
WADI ALSHABAK,327,10.54102434,31.02165307
WARSAN FIRST,109468,8.426539742,12990.86023
WARSAN FOURTH,10962,7.865372815,1393.703802
WARSAN SECOND,1435,8.626108938,166.3554229
WARSAN THIRD,12690,10.44222814,1215.257876
WORLD ISLANDS,7,74.09663348,0.094471229
YARAAH,110,76.47033224,1.438466354
ZAA'BEEL FIRST,3632,4.120078633,881.5365732
ZAA'BEEL SECOND,9145,10.79209497,847.3794964
