Community,avg_per_day
ABU HAIL,2.460122699386503
AL AWIR FIRST,2.0652173913043477
AL AWIR SECOND,1.2280701754385965
AL BADA',2.7630057803468207
AL BARAHA,1.505050505050505
AL BARSHA FIRST,3.81151832460733
AL BARSHA SECOND,2.2312925170068025
AL BARSHA SOUTH FIFTH,2.0141843971631204
AL BARSHA SOUTH FIRST,2.621301775147929
AL BARSHA SOUTH FOURTH,4.208333333333333
AL BARSHA SOUTH SECOND,1.5377358490566038
AL BARSHA SOUTH THIRD,2.1315789473684212
AL BARSHA THIRD,1.9154929577464788
AL BUTEEN,1.0714285714285714
AL CORNICHE,1.2333333333333334
AL DAGHAYA,1.1538461538461537
AL FAGAA,1.103448275862069
AL GARHOUD,3.497297297297297
AL HAMRIYA,1.3246753246753247
AL HAMRIYA PORT,1.1162790697674418
AL HEBIAH FIFTH,1.4230769230769231
AL HEBIAH FIRST,2.2857142857142856
AL HEBIAH FOURTH,2.119496855345912
AL HEBIAH SECOND,1.25
AL HEBIAH SIXTH,1.2105263157894737
AL HEBIAH THIRD,1.5142857142857142
AL HUDAIBA,1.4230769230769231
AL JADAF,3.672222222222222
AL JAFILIYA,2.426829268292683
AL KARAMA,2.2710843373493974
AL KHABAISI,1.7872340425531914
AL KHEERAN,2.1153846153846154
AL KHEERAN FIRST,1.4
AL KHWANEEJ FIRST,1.6746031746031746
AL KHWANEEJ SECOND,1.5274725274725274
AL KIFAF,1.302325581395349
AL LAYAN 1,1.1428571428571428
AL LESAILY,1.3333333333333333
AL MAHA,1.0
AL MAMZAR,1.9647887323943662
AL MANARA,1.6464646464646464
AL MARMOOM,1.2272727272727273
AL MERKADH,2.6724137931034484
AL MERYAL,1.0
AL MIZHAR FIRST,2.380952380952381
AL MIZHAR SECOND,1.3333333333333333
AL MURAQQABAT,2.6037735849056602
AL MURAR,1.1506849315068493
AL MUTEENA,1.7482014388489209
AL NAHDA FIRST,1.7552447552447552
AL NAHDA SECOND,1.6666666666666667
AL QOUZ FIRST,3.0
AL QOUZ FOURTH,1.9615384615384615
AL QOUZ IND.FIRST,2.737142857142857
AL QOUZ IND.FOURTH,2.625730994152047
AL QOUZ IND.SECOND,3.3351648351648353
AL QOUZ IND.THIRD,3.254335260115607
AL QOUZ SECOND,1.8633093525179856
AL QOUZ THIRD,1.643939393939394
AL QUSAIS FIRST,1.7785714285714285
AL QUSAIS IND. FIFTH,1.8076923076923077
AL QUSAIS IND. FIRST,1.5950413223140496
AL QUSAIS IND. FOURTH,1.391304347826087
AL QUSAIS IND. SECOND,1.6635514018691588
AL QUSAIS IND. THIRD,1.396551724137931
AL QUSAIS SECOND,1.7380952380952381
AL QUSAIS THIRD,1.606060606060606
AL RAFFA,1.7542372881355932
AL RAS,1.152542372881356
AL RASHIDIYA,3.4308510638297873
AL RIGGA,1.3333333333333333
AL ROWAIYAH FIRST,1.5172413793103448
AL ROWAIYAH SECOND,1.5052631578947369
AL ROWAIYAH THIRD,1.828358208955224
AL SABKHA,1.0
AL SAFA FIRST,1.811023622047244
AL SAFA SECOND,1.6285714285714286
AL SAFOUH FIRST,1.8482758620689654
AL SAFOUH SECOND,2.47953216374269
AL SATWA,3.091891891891892
AL SELAL,1.108695652173913
AL SHINDAGHA,1.3333333333333333
AL SOUQ AL KABEER,1.6936936936936937
AL THANYAH  FOURTH,1.9281045751633987
AL THANYAH FIFTH,2.804469273743017
AL THANYAH FIRST,1.963768115942029
AL THANYAH SECOND,1.510204081632653
AL THANYAH THIRD,1.5689655172413792
AL TTAY,1.162162162162162
AL TWAR FIRST,2.1589403973509933
AL TWAR SECOND,1.3894736842105264
AL TWAR THIRD,1.7744360902255638
AL WARQA'A FIFTH,1.12
AL WARQA'A FIRST,2.1533333333333333
AL WARQA'A FOURTH,1.3793103448275863
AL WARQA'A SECOND,1.6238532110091743
AL WARQA'A THIRD,1.7317073170731707
AL WASL,3.215909090909091
AL WOHOOSH,1.0
AL WUHEIDA,1.6
AL YALAYIS 1,1.3636363636363635
AL YALAYIS 2,2.092857142857143
AL YALAYIS 3,1.1333333333333333
AL YALAYIS 4,1.0
AL YALAYIS 5,1.1886792452830188
AL YUFRAH 1,1.320754716981132
AL YUFRAH 2,1.25
AL YUFRAH 3,1.2894736842105263
AL YUFRAH 4,1.0
ALEYAS,1.7966101694915255
AYAL NASIR,1.2564102564102564
BU KADRA,1.2142857142857142
BURJ KHALIFA,4.9689119170984455
BUSINESS BAY,7.428571428571429
CORNICHE DEIRA,1.1372549019607843
DUBAI INT'L AIRPORT,3.3333333333333335
DUBAI INVESTMENT PARK FIRST,3.4166666666666665
DUBAI INVESTMENT PARK SECOND,2.2430555555555554
ENKHALI,1.0
GHADEER BARASHY,1.0714285714285714
GRAYTEESAH,1.2173913043478262
HADAEQ SHEIKH MOHAMMED BIN RASHID,4.218085106382978
HATTA,1.5757575757575757
HEFAIR,1.0
HESSYAN FIRST,1.2258064516129032
HESSYAN SECOND,1.2
HOR AL ANZ,2.625730994152047
HOR AL ANZ EAST,1.9523809523809523
JABAL ALI FIRST,4.331606217616581
JABAL ALI INDUSTRIAL FIRST,3.9153439153439153
JABAL ALI INDUSTRIAL SECOND,2.5240963855421685
JABAL ALI INDUSTRIAL THIRD,1.5126050420168067
JABAL ALI SECOND,1.3114754098360655
JABAL ALI THIRD,1.2432432432432432
JUMEIRA BAY,1.0588235294117647
JUMEIRA FIRST,2.3229813664596275
JUMEIRA SECOND,1.8646616541353382
JUMEIRA THIRD,1.835820895522388
LE HEMAIRA,1.0555555555555556
LEHBAB FIRST,1.0869565217391304
LEHBAB SECOND,1.0384615384615385
MADINAT AL MATAAR,2.5502958579881656
MADINAT DUBAI AL MELAHEYAH,1.8083333333333333
MANKHOOL,2.2484848484848485
MARGAB,1.1363636363636365
MARGHAM,1.1333333333333333
MARSA DUBAI,4.942408376963351
ME'AISEM FIRST,2.5269461077844313
ME'AISEM SECOND,1.2424242424242424
MENA JABAL ALI,3.305084745762712
MEREIYEEL,1.1818181818181819
MIRDIF,5.528795811518324
MUGATRAH,1.1904761904761905
MUHAISANAH FIFTH,1.28125
MUHAISANAH FOURTH,2.036363636363636
MUHAISANAH SECOND,2.9555555555555557
MUHAISANAH THIRD,1.4111111111111112
MUHAISNAH FIRST,2.1625
MUSHRAIF,1.2857142857142858
NADD AL HAMAR,3.037837837837838
NADD AL SHIBA FIRST,1.9930555555555556
NADD AL SHIBA FOURTH,1.6506849315068493
NADD AL SHIBA SECOND,1.358695652173913
NADD AL SHIBA THIRD,1.5666666666666667
NADD HESSA,2.860215053763441
NADD SHAMMA,1.2307692307692308
NAIF,1.5826086956521739
NAKHLAT DEIRA,1.0869565217391304
NAKHLAT JUMEIRA,2.93491124260355
NAZWAH,1.0909090909090908
OUD AL MUTEENA FIRST,1.5353535353535352
OUD AL MUTEENA SECOND,1.1111111111111112
OUD AL MUTEENA THIRD,1.1714285714285715
OUD METHA,1.643939393939394
PORT SAEED,3.2162162162162162
RAS AL KHOR,1.2096774193548387
RAS AL KHOR IND. FIRST,1.6120689655172413
RAS AL KHOR IND. SECOND,2.810126582278481
RAS AL KHOR IND. THIRD,3.1868131868131866
REMAH,1.0
RIGGAT AL BUTEEN,1.4554455445544554
SAIH AL DAHAL,1.0769230769230769
SAIH AL SALAM,1.08
SAIH SHUAIB 1,1.5696202531645569
SAIH SHUAIB 2,1.2763157894736843
SAIH SHUAIB 3,1.2222222222222223
SAIH SHUAIB 4,1.3414634146341464
TRADE CENTER FIRST,2.396449704142012
TRADE CENTER SECOND,2.6335403726708075
UMM AL DAMAN,1.1875
UMM AL MO'MENEEN,1.2553191489361701
UMM AL SHEIF,1.6929824561403508
UMM ESELAY,1.1
UMM HURAIR FIRST,1.3421052631578947
UMM HURAIR SECOND,2.0853658536585367
UMM NAHAD FIRST,1.123076923076923
UMM NAHAD FOURTH,1.1333333333333333
UMM NAHAD SECOND,1.121212121212121
UMM NAHAD THIRD,1.1176470588235294
UMM RAMOOL,2.603550295857988
UMM SUQEIM FIRST,2.0
UMM SUQEIM SECOND,1.8943089430894309
UMM SUQEIM THIRD,1.6095238095238096
Unspecified,1.3146067415730338
WADI AL SAFA 2,2.3691275167785233
WADI AL SAFA 3,2.6666666666666665
WADI AL SAFA 4,1.675
WADI AL SAFA 5,2.2621951219512195
WADI AL SAFA 6,2.1842105263157894
WADI AL SAFA 7,1.4528301886792452
WADI ALAMARDI,1.4851485148514851
WADI ALSHABAK,1.5169491525423728
WARSAN FIRST,5.429319371727749
WARSAN FOURTH,1.5909090909090908
WARSAN SECOND,1.6701030927835052
WARSAN THIRD,1.575221238938053
YARAAH,1.0
ZAA'BEEL FIRST,2.1506849315068495
ZAA'BEEL SECOND,3.730769230769231
